artist,duration,genre,label,tags,title,album,date,likes,stream
КИНО,168505,,,,Восьмикласница,,2013-01-02T18:41:19Z,1774,127383
КИНО,298816,,,,Следи за собой,,2013-01-02T18:41:19Z,2972,196390
КИНО,307620,,,,Песня без слов,,2013-01-02T18:41:20Z,2391,198759
КИНО,400076,,,,Кукушка,,2013-01-02T18:41:20Z,836,75702
КИНО,258452,,,,"Закрой за мной дверь, я ухожу",,2013-01-02T18:41:20Z,849,71873
КИНО,290011,,,,Нам с тобой,,2013-01-02T18:41:20Z,1775,146499
КИНО,250015,,,,"Мама, мы все сошли с ума",,2013-01-02T18:41:20Z,3990,249976
КИНО,332125,,,,Печаль,,2013-01-02T18:41:20Z,706,58135
КИНО,269581,,,,Мои друзья,,2013-01-02T18:41:20Z,1260,104679
КИНО,370137,,,,Спокойная ночь,,2013-01-02T18:41:20Z,7773,528969
КИНО,278125,,,,Апрель,,2013-01-02T18:41:20Z,635,54232
КИНО,216836,,,,В наших глазах,,2013-01-02T18:41:20Z,2080,150955
КИНО,246827,,,,Война,,2013-01-02T18:41:20Z,450,44387
КИНО,261457,,,,Невеселая песня,,2013-01-02T18:41:21Z,1273,104717
КИНО,261430,,,,Когда твоя девушка больна,,2013-01-02T18:41:21Z,3813,245116
КИНО,223446,,,,Место для шага вперед,,2013-01-02T18:41:21Z,5932,478334
КИНО,175898,,,,Камчатка,,2013-01-02T18:41:21Z,637,54647
КИНО,316110,,,,Муравейник,,2013-01-02T18:41:21Z,1067,82775
КИНО,169810,,,,Мама Анархия,,2013-01-02T18:41:21Z,3908,275232
КИНО,147605,,,,Троллейбус,,2013-01-02T18:41:21Z,989,85340
КИНО,248681,,,,Легенда,,2013-01-02T18:41:21Z,481,39230
КИНО,319089,,,,Сосны на морском берегу,,2013-01-02T18:41:21Z,854,72636
Егор Крид,128131,,,,PUSSY BOY,,2021-07-15T21:12:20Z,52625,4635662
Егор Крид,129228,,,,Здравствуйте (при уч. OG Buda),,2021-06-24T21:12:28Z,14643,1007665
Егор Крид,127765,,,,CHOPPA,,2021-07-15T21:09:46Z,1912,177529
Егор Крид,120346,,,,НА МНЕ HOE,,2021-07-15T21:17:19Z,2583,244750
Егор Крид,119432,,,,PUFF (при уч. MAYOT),,2021-07-15T21:16:01Z,8652,644907
Егор Крид,124003,,,,ДЕД РОЕТ,,2021-07-15T21:21:24Z,2665,231466
Егор Крид,197878,,,,DOROGO (при уч. blago white),,2021-07-15T21:12:31Z,1769,161857
Егор Крид,118047,,,,Телефон,,2021-07-01T21:37:56Z,9338,734404
Егор Крид,167523,,,,Автомат (при уч. Guf),,2021-07-08T21:36:33Z,6499,543943
Егор Крид,144927,,,,ГРУСТНО (при уч. SODA LUV),,2021-07-15T21:16:18Z,9192,639302
Егор Крид,160758,,,,Интро,,2021-07-09T21:55:18Z,845,61203
Егор Крид,176248,,,,Что они знают?,,2021-07-09T21:55:05Z,1528,112744
Егор Крид,198113,,,,Не могу,,2021-07-09T21:54:45Z,16660,1033793
Егор Крид,192261,,,,Алло,,2021-07-09T21:54:31Z,641,48783
Егор Крид,184581,,,,Потрачу,,2021-07-09T21:54:20Z,38684,2449112
Егор Крид,222093,,,,Засыпай (при уч. Мот),,2021-07-09T21:53:57Z,801,56534
Егор Крид,213603,,,,Стой,,2021-07-09T21:53:17Z,925,63705
Егор Крид,211931,,,,Не обманывай,,2021-07-09T21:52:50Z,241,23874
Егор Крид,185809,,,,Самба белого мотылька,,2021-07-09T21:47:21Z,1864,116870
Егор Крид,212428,,,,Что скажет мама?,,2021-07-09T21:51:59Z,1217,80236
Егор Крид,159425,,,,Зажигалки,,2021-07-09T21:51:30Z,7971,510875
Егор Крид,202632,,,,Если ты меня не любишь (при уч. MOLLY),,2021-07-09T21:49:57Z,2543,154393
Егор Крид,109767,,,,18+,,2021-07-09T22:54:24Z,5671,404104
Егор Крид,110681,,,,В неожиданном ракурсе,,2021-07-09T22:57:51Z,567,50824
Егор Крид,106527,,,,58,,2021-03-27T21:30:18Z,1775,126050
