artist,duration,genre,label,tags,title,album,date,likes,stream
50 Cent,288914,Hip Hop,Shady Records,,Patiently Waiting (feat. Eminem),,2016-03-29T20:20:00Z,8141,616956
Eminem,297874,Hip Hop,Aftermath,Pop,Cleanin' Out My Closet,,2016-03-30T15:24:45Z,12970,844626
Eminem,290456,Hip Hop,Interscope,Pop,The Way I Am,,2016-03-30T15:23:39Z,15396,1090830
Eminem,364016,Rap,Aftermath,,Rap God,,2016-06-28T13:15:31Z,15042,988246
Eminem,286250,R & B,The Source,,The Real Slim Shady,,2016-03-30T15:23:35Z,16866,1115263
Eminem,268434,Hip Hop,Aftermath,Pop,My Name Is,,2016-03-30T15:23:35Z,22923,1469113
Dr. Dre,222328,Hip Hop,Aftermath,,Forgot About Dre (feat. Eminem),,2016-03-18T15:40:48Z,169636,12135579
Eminem,272457,Rap,Aftermath,,Survival,,2016-06-28T13:07:33Z,5433,387892
Eminem,350354,Hip Hop,Aftermath,,Superman (feat. Dina Rae),,2016-03-30T15:24:49Z,347185,21717270
Eminem,241633,Hip Hop,Aftermath,,25 To Life,,2016-03-30T15:24:11Z,6921,468206
Eminem,279040,Hip Hop,Aftermath,,Cinderella Man,,2016-03-30T15:24:13Z,8946,740078
Eminem,249704,Hip Hop,Aftermath,Pop,Just Lose It,,2016-03-30T15:23:26Z,3998,289173
Eminem,238785,Rap,Aftermath,,Berzerk,,2016-03-30T15:23:43Z,4088,264708
Eminem,251742,Hip-hop/Rap,WEB Entertainment,Other,Infinite,,2017-01-06T10:56:04Z,5599,302426
Eminem,221048,Rap,Aftermath,,River (feat. Ed Sheeran),,2017-12-15T04:41:43Z,23345,1615374
Eminem,282593,Rap,3H,,Phenomenal,,2016-03-30T15:23:34Z,5662,455335
Eminem,303673,Rap,Aftermath,,Walk On Water (feat. Beyoncé),,2017-11-10T18:27:45Z,10572,676249
Logic,245469,Hip Hop,Def Jam Recordings,,Homicide (feat. Eminem),,2019-04-26T02:51:18Z,265300,21619664
Eminem,321306,Hip Hop,Interscope,,Marshall Mathers,,2016-03-30T15:23:39Z,4432,312029
Eminem,210834,Rap,Shady/Aftermath/Interscope Records,,Godzilla (feat. Juice WRLD),,2020-01-17T18:39:16Z,604564,45881870
Eminem,244715,Rap,Aftermath,,Lucky You (feat. Joyner Lucas),,2018-08-31T04:24:36Z,36789,3153372
